id+AF8-subject,status,anat,func
contxxx0040013,OK,,
contxxx0040014,OK,,
contxxx0040017,OK,,
contxxx0040018,OK,,
contxxx0040019,OK,,
contxxx0040020,OK,,
contxxx0040023,OK,,
contxxx0040024,OK,,
contxxx0040026,Maybe,,TILT
contxxx0040027,OK,,
contxxx0040030,OK,,
contxxx0040031,OK,,
contxxx0040033,Maybe,,TILT
contxxx0040035,OK,,
contxxx0040036,OK,,
contxxx0040038,Maybe,BET+-,
contxxx0040043,OK,,
contxxx0040045,OK,,
contxxx0040048,OK,,
contxxx0040050,OK,,
contxxx0040051,OK,,
contxxx0040052,OK,,
contxxx0040053,Maybe,,TILT
contxxx0040054,OK,,
contxxx0040055,Maybe,,TILT
contxxx0040056,Maybe ,,TILT
contxxx0040057,OK,,
contxxx0040058,Maybe,,TILT
contxxx0040061,OK,,TILT+AC0-
contxxx0040062,OK,,TILT+AC0-
contxxx0040063,OK,,TILT+AC0-
contxxx0040065,OK,,
contxxx0040066,OK,,+ACI-TILT+AC0-, ATR+ACI-
contxxx0040067,OK,,+ACI-TILT+AC0-, ATR+ACI-
contxxx0040068,OK,,
contxxx0040069,OK,,
contxxx0040074,OK,,
contxxx0040076,OK,,
contxxx0040086,OK,,TILT+AC0-
contxxx0040087,OK,,TILT+AC0-
contxxx0040090,OK,,TILT+AC0-
contxxx0040091,,,
contxxx0040093,,,
contxxx0040095,,,
contxxx0040102,,,
contxxx0040104,,,
contxxx0040107,,,
contxxx0040111,,,
contxxx0040113,,,
contxxx0040114,,,
contxxx0040115,,,
contxxx0040116,,,
contxxx0040118,,,
contxxx0040119,,,
contxxx0040120,,,
contxxx0040121,,,
contxxx0040123,,,
contxxx0040124,,,
contxxx0040125,,,
contxxx0040127,,,
contxxx0040128,,,
contxxx0040129,,,
contxxx0040130,,,
contxxx0040131,,,
contxxx0040134,,,
contxxx0040135,,,
contxxx0040136,,,
contxxx0040138,,,
contxxx0040139,,,
contxxx0040140,,,
contxxx0040141,,,
contxxx0040144,,,
contxxx0040146,,,
contxxx0040147,,,
szxxx0040000,,,
szxxx0040001,,,
szxxx0040002,,,
szxxx0040003,,,
szxxx0040004,,,
szxxx0040005,,,
szxxx0040006,,,
szxxx0040007,,,
szxxx0040008,,,
szxxx0040009,,,
szxxx0040010,,,
szxxx0040011,,,
szxxx0040012,,,
szxxx0040015,,,
szxxx0040016,,,
szxxx0040021,,,
szxxx0040022,,,
szxxx0040025,,,
szxxx0040028,,,
szxxx0040029,,,
szxxx0040032,,,
szxxx0040034,,,
szxxx0040037,,,
szxxx0040039,,,
szxxx0040040,,,
szxxx0040041,,,
szxxx0040042,,,
szxxx0040044,,,
szxxx0040046,,,
szxxx0040047,,,
szxxx0040049,,,
szxxx0040059,,,
szxxx0040060,,,
szxxx0040064,,,
szxxx0040071,,,
szxxx0040072,,,
szxxx0040073,,,
szxxx0040075,,,
szxxx0040077,,,
szxxx0040078,,,
szxxx0040079,,,
szxxx0040080,,,
szxxx0040081,,,
szxxx0040082,,,
szxxx0040084,,,
szxxx0040085,,,
szxxx0040088,,,
szxxx0040089,,,
szxxx0040092,,,
szxxx0040094,,,
szxxx0040096,,,
szxxx0040097,,,
szxxx0040098,,,
szxxx0040099,,,
szxxx0040100,,,
szxxx0040101,,,
szxxx0040103,,,
szxxx0040105,,,
szxxx0040106,,,
szxxx0040108,,,
szxxx0040109,,,
szxxx0040110,,,
szxxx0040112,,,
szxxx0040117,,,
szxxx0040122,,,
szxxx0040126,,,
szxxx0040132,,,
szxxx0040133,,,
szxxx0040137,,,
szxxx0040142,,,
szxxx0040143,,,
szxxx0040145,,,
